기능명,BE 개발 상태,FE 개발상황,Method,UI 종류,최종 구현완료 여부,텍스트,페이지
"구글 로그인 ",시작 전,시작 전,POST,페이지,No,,로그인 페이지
로그아웃,시작 전,시작 전,POST,페이지,No,,로그인 페이지
해석님 API 명세 예시,시작 전,시작 전,,,No,,
[FE]설문 문항 불러오기,시작 전,시작 전,GET,페이지,No,,설문 페이지
설문 결과 저장,시작 전,시작 전,POST,페이지,No,,설문 페이지
[FE]설문 결과 요약 불러오기,시작 전,시작 전,GET,설문 결과 모달,No,,설문 페이지
,시작 전,시작 전,,,No,,
메인 지도 로딩,시작 전,시작 전,GET,페이지,No,,메인 페이지
개인 프로필 정보 불러오기,시작 전,시작 전,GET,사이드바,No,,메인 페이지
로그아웃 처리,시작 전,시작 전,,사이드바,No,,메인 페이지
도로 세그먼트 조회,시작 전,시작 전,GET,지도,No,,메인 페이지 - 지도
도로 상세조회,시작 전,시작 전,GET,상세 패널,No,특정 도로 상세 정보 조회,메인 페이지 - 지도
도로 난이도 조회,시작 전,시작 전,GET,지도,No,,메인 페이지 - 지도
[FE] 도로 색상 렌더링,시작 전,시작 전,,지도,No,,메인 페이지 - 지도
도로 요약 정보 조회,시작 전,시작 전,GET,툴팁,No,난이도 근거 요약 조회,메인 페이지 - 지도
,시작 전,시작 전,,,No,,
,시작 전,시작 전,,,No,,
[FE] 요약 정보 및 취약특성 요약 표시,시작 전,시작 전,,툴팁,No,“빙결 주의” 등 표시,메인 페이지 - 지도
난이도 구성요소 조회,시작 전,시작 전,GET,상세 패널,No,점수 산출 근거 조회,메인 페이지 - 지도
취약특성 상세 조회,시작 전,시작 전,GET,상세 패널,No,해당 도로 취약 특성 목록,메인 페이지 - 지도
[FE] 취약 특성 ON/OFF,시작 전,시작 전,,플로팅 버튼,No,,메인페이지 - 지도 - 취약특성
,시작 전,시작 전,,,No,,
사용자 취약 특성 조회,시작 전,시작 전,GET,플로팅 버튼,No,,메인페이지 - 지도 - 취약특성
취약특성 위치 조회,시작 전,시작 전,GET,플로팅 버튼,No,,메인페이지 - 지도 - 취약특성
주소 검색,추후 개발 고려,시작 전,GET,플로팅 버튼,No,주소 → 좌표 변환 (외부 API 고려),메인 페이지 - 지도
현재 위치 재검색,추후 개발 고려,시작 전,GET,플로팅 버튼,No,현재 위치 기준 정보 다시 불러오기 (매핑 방식에 따라 구현여부 다름),메인 페이지 - 지도
,시작 전,시작 전,,,No,,
프로필 상세정보 조회,시작 전,시작 전,GET,마이페이지 모달,No,,메인 페이지
프로필 상세정보 수정,시작 전,시작 전,POST,마이페이지 모달,No,,메인 페이지
설문 페이지 재설정,시작 전,시작 전,POST,마이페이지 모달,No,재설문 이동,메인 페이지
,시작 전,시작 전,,,No,,
,시작 전,시작 전,,,No,,